HR,respr,Time_sec,random_forest,logistic_regression,ensemble
95.0,12.5,1644227589,0,0,0
95.0,12.5,1644227589,0,0,0
95.0,12.5,1644227589,0,0,0
95.0,12.5,1644227589,0,0,0
135.0,6.0,1644227591,0,1,0
60.84,19.57,1743750842,0,0,0
89.54,9.09,1743750911,0,0,0
104.27,9.44,1743750990,0,0,0
98.81,8.56,1743750994,1,0,1
118.86,10.34,1743750997,1,1,1
94.66,18.88,1743751000,0,0,0
102.46,14.7,1743751003,0,0,0
123.93,15.48,1743751007,0,1,0
102.59,13.38,1743751010,0,0,0
85.83,7.36,1743751013,1,0,0
68.22,19.12,1743751016,0,0,0
75.63,19.62,1743751019,0,0,0
108.51,17.9,1743751022,0,0,0
144.2,7.65,1743751025,1,1,1
138.39,15.77,1743751028,0,1,0
135.42,19.87,1743751031,0,1,0
126.42,13.01,1743751034,1,1,1
133.95,18.96,1743751037,0,1,0
87.83,8.31,1743751040,0,0,0
74.63,13.24,1743751042,0,0,0
98.33,12.99,1743751045,0,0,0
94.44,13.9,1743751049,0,0,0
148.76,12.95,1743751052,1,1,1
108.5,6.88,1743751055,0,0,0
131.58,17.99,1743751058,0,1,0
141.63,16.09,1743751061,0,1,0
78.01,13.87,1743751064,0,0,0
134.57,19.36,1743751067,0,1,0
116.56,15.16,1743751070,0,1,0
117.9,11.4,1743751073,0,1,0
100.81,14.92,1743751075,0,0,0
145.92,14.93,1743751078,0,1,0
69.4,16.57,1743751081,0,0,0
119.73,19.11,1743751084,0,1,0
149.12,13.36,1743751088,0,1,1
70.43,13.15,1743751091,0,0,0
109.1,6.87,1743751094,0,0,0
128.86,14.98,1743751097,0,1,0
79.81,19.57,1743751100,0,0,0
123.0,6.58,1743751103,0,1,0
119.14,12.0,1743751105,0,1,0
75.72,9.74,1743751109,0,0,0
89.29,16.43,1743751124,0,0,0
85.03,18.49,1743751126,0,0,0
145.85,10.59,1743751129,0,1,0
148.07,13.38,1743751132,0,1,1
61.54,18.99,1743751135,0,0,0
85.9,6.89,1743751139,0,0,0
149.0,10.65,1743751142,0,1,0
63.08,19.12,1743751144,0,0,0
73.62,16.11,1743751147,0,0,0
72.56,18.15,1743751150,0,0,0
65.01,7.29,1743751154,1,0,1
126.81,15.25,1743751157,0,1,0
105.18,11.23,1743751160,1,0,1
131.88,11.06,1743751163,0,1,0
109.29,11.45,1743751166,1,0,1
114.03,7.22,1743751169,0,1,0
130.03,17.59,1743751172,0,1,0
95.2,13.66,1743751175,1,0,0
137.9,10.14,1743751178,0,1,1
143.28,7.17,1743751181,0,1,1
110.91,9.27,1743751184,1,0,1
137.76,10.79,1743751187,0,1,0
130.75,9.13,1743751190,1,1,1
65.95,9.09,1743751193,1,0,0
117.83,6.65,1743751196,0,1,0
84.45,7.18,1743751199,0,0,0
98.29,8.57,1743751202,0,0,0
140.76,13.07,1743751205,1,1,1
75.67,11.68,1743751208,1,0,1
66.79,17.79,1743751211,0,0,0
112.18,15.71,1743751225,0,0,0
142.54,7.82,1743751228,1,1,1
83.85,12.58,1743751232,0,0,0
109.22,17.25,1743751235,0,0,0
129.11,10.93,1743751238,0,1,0
139.52,18.63,1743751241,0,1,0
90.23,17.61,1743751244,0,0,0
106.31,14.08,1743751247,1,0,1
129.09,15.74,1743751249,0,1,0
87.12,19.94,1743751252,0,0,0
67.83,16.01,1743751256,0,0,0
133.33,13.25,1743751259,0,1,1
96.34,13.33,1743751262,1,0,1
144.16,18.77,1743751265,0,1,0
104.06,14.16,1743751268,0,0,0
120.41,10.64,1743751271,0,1,0
64.02,18.08,1743751274,0,0,0
86.21,15.77,1743751277,0,0,0
63.42,11.97,1743751280,0,0,0
61.85,15.59,1743751283,1,0,1
110.27,10.12,1743751286,0,0,0
142.63,11.06,1743751289,0,1,0
112.96,19.51,1743751292,0,0,0
136.2,18.53,1743751295,0,1,0
105.25,8.0,1743751298,0,0,0
70.68,17.18,1743751301,0,0,0
104.31,8.91,1743751304,0,0,0
139.52,18.35,1743751307,0,1,0
91.24,7.96,1743751310,0,0,0
78.18,6.39,1743751325,0,0,0
